Animal,Forebrain m,Cerebellum m,Rest of brain m,Forebrain n,Cerebellum n,Rest of brain n,Body m,Body m at birth,Body m at weaning,Longevity y,Gestation d,Weaning d,Male maturity d,Female maturity d,Litters per year,Inter-litter interval d,Body temperature C,Basal metabolic rate w,Metabolic rate per body m
Common tree shrew,1.455,0.326,0.919,"60,390,000","185,280,000","22,480,000",200,12.94,100,12.4,46,36,90,90,2.5,45,37.0,0.522,0.004244
European rabbit,4.448,1.412,3.272,"71,450,000","396,670,000","26,080,000",1800,45,214,13,30,26,-,730,4.3,29,39.0,7.395,0.003411
Eastern grey squirrel,2.73,0.874,1.943,"77,330,000","342,830,000","33,490,000",533,15,200,23.6,44,66,401,343,2,-,38.7,2.062,0.004686
Banded mongoose,9.29,1.548,3.454,"115,770,000","315,740,000","22,510,000",1332,39,-,17.4,60,-,-,289,2,365,-,-,-
Rock hyrax,10.478,2.058,4.317,"197,930,000","488,370,000","69,350,000",3600,205,500,14.8,215,116,500,500,1,365,37.0,4.954,0.002015
Northern greater galago,6.29,1.196,2.131,"226,090,000","743,500,000","20,800,000",1300,46,-,20,132,140,600,600,1.4,365,36.0,3.927,0.002989
Common marmoset,5.561,0.73,1.489,"244,720,000","361,370,000","29,720,000",255.2,26.5,86.67,22.8,144,62,382,477,2,169,36.0,0.848,0.004463
House cat,24.176,5.11,5.572,"249,830,000","942,900,000","22,470,000",3900,97.5,-,30,65,56,304,289,-,-,38.1,-,-
Brown bear,222,45.106,47.898,"250,970,000","9,253,000,000","81,380,000",277500,510,26000,40,103,213,1313,1313,0.4,852,37.3,-,-
Capybara,48.175,6.632,19.927,"306,500,000","1,157,000,000","108,000,000",55000,1500,8299,15.1,150,103,456,456,1.25,245,37.1,36.754,0.001393
Domestic pig,42.404,8.128,13.85,"307,082,000","1,858,000,000","58,710,000",130000,-,-,-,-,-,-,-,-,-,-,-,-
Springbok,68.806,11.458,25.81,"396,900,000","2,257,000,000","70,400,000",39000,4160,-,19.8,168,121,400,213,1,365,39.4,-,-
Raccoon,24.491,3.338,6.357,"437,940,000","1,646,000,000","48,570,000",6000,80,1175,21,63,91,365,365,1,365,38.0,10.428,0.002154
Three-striped night monkey,10.617,1.732,3.104,"441,900,000","1,040,000,000","49,340,000",800,88.5,360,30.1,142,77,730,821,1.4,269,38.0,2.499,0.002733
Striped hyena,67.45,14.032,17.732,"495,280,000","3,330,000,000","55,490,000",40000,700,-,25,90,279,800,800,-,237,37.0,31.954,0.000932
Domestic dog,65.491,7.512,13.459,"527,910,000","1,676,000,000","48,150,000",40000,-,-,27,63,-,510,510,-,-,-,-,-
Lion,139.902,24.882,34.162,"545,240,000","4,049,000,000","72,040,000",175000,1300,-,28,109,-,1095,1095,1,649,37.9,94.58,0.000965
Blesbok,111.31,13.402,30.006,"570,670,000","2,401,000,000","86,400,000",84500,6792,-,23,243,152,-,707,-,365,-,-,-
Greater kudu,213.37,31.776,61.716,"762,000,000","4,042,000,000","106,500,000",217500,15000,-,23.5,228,183,-,517,1,365,38.9,-,-
Long-tailed macaque,36.226,5.642,4.294,"800,960,000","2,572,000,000","65,440,000",6363,320,-,39,165,-,1544,1238,0.9,431,37.6,-,-
Brown capuchin,39.178,4.6,8.43,"1,140,000,000","2,490,000,000","61,850,000",2643,239.7,1000,46,158,307,-,1703,0.6,671,-,-,-
Common squirrel monkey,20.652,4.3,5.004,"1,340,000,000","1,820,000,000","65,530,000",925,107,403,30.2,161,177,1826,1003,1,365,38.0,4.429,0.005293
Bonnet macaque,48.274,5.748,7.448,"1,655,000,000","2,038,000,000","61,350,000",6755,394,2000,30,161,304,1795,1295,1,365,-,-,-
Rhesus macaque,69.832,7.694,9.204,"1,710,000,000","4,550,000,000","121,900,000",8235,464,-,40,165,-,2007,1231,1,444,37.3,-,-
Giraffe,398.808,67.73,70.68,"1,731,000,000","8,878,000,000","142,600,000",800000,58500,-,39.5,457,-,1644,1278,0.5,620,37.1,-,-
Harbour porpoise,382.77,106.14,74.62,"2,770,000,000","23,400,000,000","114,000,000",52500,7000,-,20.4,320,243,1461,1055,1,365,-,107.675,0.003778
Yellow baboon,120.214,13.745,17.235,"2,875,000,000","7,794,000,000","278,100,000",20000,-,-,-,-,-,-,-,-,-,-,-,-
African elephant,2847,1171,564,"5,593,000,000","250,700,000,000","741,000,000",4800000,105000,600000,65,670,1071,3650,4018,0.2,1707,36.2,-,-
Human,1232,154.02,117.669,"16,340,000,000","69,030,000,000","690,000,000",62035,3313,-,122.5,280,-,5110,4745,0.3,639,37.0,82.78,0.001183
